2024-10-01 20:17:48,419 - INFO - Starting coin scraping process
2024-10-01 20:18:06,069 - INFO - Slowly scrolled to the bottom of the page
2024-10-01 20:18:17,613 - INFO - Slowly scrolled to the top of the page
2024-10-01 20:19:04,972 - INFO - Read: Rank: 126, Name: Golem
2024-10-01 20:19:05,045 - INFO - Read: Rank: 127, Name: GateToken
2024-10-01 20:19:05,116 - INFO - Read: Rank: 128, Name: Kava.io
2024-10-01 20:19:05,184 - INFO - Read: Rank: 129, Name: Wootrade
2024-10-01 20:19:05,255 - INFO - Read: Rank: 130, Name: Mina
2024-10-01 20:19:05,329 - INFO - Read: Rank: 131, Name: iExec RLC
2024-10-01 20:19:05,397 - INFO - Read: Rank: 132, Name: VeThor Token
2024-10-01 20:19:05,464 - INFO - Read: Rank: 133, Name: SKALE Network
2024-10-01 20:19:05,541 - INFO - Read: Rank: 134, Name: Dent
2024-10-01 20:19:05,611 - INFO - Read: Rank: 135, Name: Conflux Network
2024-10-01 20:19:05,681 - INFO - Read: Rank: 136, Name: Gemini Dollar
2024-10-01 20:19:05,751 - INFO - Read: Rank: 137, Name: Origin Protocol
2024-10-01 20:19:05,821 - INFO - Read: Rank: 138, Name: Reef
2024-10-01 20:19:05,890 - INFO - Read: Rank: 139, Name: Ergo
2024-10-01 20:19:05,959 - INFO - Read: Rank: 140, Name: Prometeus
2024-10-01 20:19:06,030 - INFO - Read: Rank: 141, Name: Venus
2024-10-01 20:19:06,102 - INFO - Read: Rank: 142, Name: Storj
2024-10-01 20:19:06,171 - INFO - Read: Rank: 143, Name: Energy Web Token
2024-10-01 20:19:06,245 - INFO - Read: Rank: 144, Name: Band Protocol
2024-10-01 20:19:06,320 - INFO - Read: Rank: 145, Name: Cartesi
2024-10-01 20:19:06,392 - INFO - Read: Rank: 146, Name: Swipe
2024-10-01 20:19:06,464 - INFO - Read: Rank: 147, Name: Uquid Coin
2024-10-01 20:19:06,538 - INFO - Read: Rank: 148, Name: MCO
2024-10-01 20:19:06,607 - INFO - Read: Rank: 149, Name: FUNToken
2024-10-01 20:19:06,678 - INFO - Read: Rank: 150, Name: Orchid
2024-10-01 20:19:06,752 - INFO - Read: Rank: 151, Name: Stratis
2024-10-01 20:19:06,819 - INFO - Read: Rank: 152, Name: LockTrip
2024-10-01 20:19:06,888 - INFO - Read: Rank: 153, Name: ABBC Coin
2024-10-01 20:19:06,961 - INFO - Read: Rank: 154, Name: Bitcoin Standard Hashrate Token
2024-10-01 20:19:07,032 - INFO - Read: Rank: 155, Name: ZKSwap
2024-10-01 20:19:07,115 - INFO - Read: Rank: 156, Name: WAX
2024-10-01 20:19:07,186 - INFO - Read: Rank: 157, Name: Status
2024-10-01 20:19:07,254 - INFO - Read: Rank: 158, Name: NKN
2024-10-01 20:19:07,324 - INFO - Read: Rank: 159, Name: Ontology Gas
2024-10-01 20:19:07,393 - INFO - Read: Rank: 160, Name: IoTeX
2024-10-01 20:19:07,464 - INFO - Read: Rank: 161, Name: NuCypher
2024-10-01 20:19:07,538 - INFO - Read: Rank: 162, Name: Injective Protocol
2024-10-01 20:19:07,616 - INFO - Read: Rank: 163, Name: Celer Network
2024-10-01 20:19:07,686 - INFO - Read: Rank: 164, Name: Unibright
2024-10-01 20:19:07,758 - INFO - Read: Rank: 165, Name: Fetch.ai
2024-10-01 20:19:07,850 - INFO - Read: Rank: 166, Name: Serum
2024-10-01 20:19:07,920 - INFO - Read: Rank: 167, Name: Numeraire
2024-10-01 20:19:07,990 - INFO - Read: Rank: 168, Name: StormX
2024-10-01 20:19:08,062 - INFO - Read: Rank: 169, Name: Aragon
2024-10-01 20:19:08,132 - INFO - Read: Rank: 170, Name: Augur
2024-10-01 20:19:08,216 - INFO - Read: Rank: 171, Name: Hxro
2024-10-01 20:19:08,290 - INFO - Read: Rank: 172, Name: ZB Token
2024-10-01 20:19:08,359 - INFO - Read: Rank: 173, Name: SingularityNET
2024-10-01 20:19:08,432 - INFO - Read: Rank: 174, Name: The Sandbox
2024-10-01 20:19:08,506 - INFO - Read: Rank: 175, Name: Ultra
2024-10-01 20:19:08,578 - INFO - Read: Rank: 176, Name: Civic
2024-10-01 20:19:08,646 - INFO - Read: Rank: 177, Name: BitShares
2024-10-01 20:19:08,715 - INFO - Read: Rank: 178, Name: Ampleforth
2024-10-01 20:19:08,783 - INFO - Read: Rank: 179, Name: Phala Network
2024-10-01 20:19:08,852 - INFO - Read: Rank: 180, Name: TomoChain
2024-10-01 20:19:08,922 - INFO - Read: Rank: 181, Name: Enzyme
2024-10-01 20:19:08,990 - INFO - Read: Rank: 182, Name: Orbs
2024-10-01 20:19:09,058 - INFO - Read: Rank: 183, Name: Balancer
2024-10-01 20:19:09,127 - INFO - Read: Rank: 184, Name: RSK Infrastructure Framework
2024-10-01 20:19:09,211 - INFO - Read: Rank: 185, Name: Strike
2024-10-01 20:19:09,285 - INFO - Read: Rank: 186, Name: Ardor
2024-10-01 20:19:09,357 - INFO - Read: Rank: 187, Name: Alpha Finance Lab
2024-10-01 20:19:09,433 - INFO - Read: Rank: 188, Name: Casper
2024-10-01 20:19:09,503 - INFO - Read: Rank: 189, Name: Travala.com
2024-10-01 20:19:09,577 - INFO - Read: Rank: 190, Name: PAX Gold
2024-10-01 20:19:09,652 - INFO - Read: Rank: 191, Name: Function X
2024-10-01 20:19:09,733 - INFO - Read: Rank: 192, Name: Streamr
2024-10-01 20:19:09,803 - INFO - Read: Rank: 193, Name: Wanchain
2024-10-01 20:19:09,875 - INFO - Read: Rank: 194, Name: JUST
2024-10-01 20:19:09,948 - INFO - Read: Rank: 195, Name: Steem
2024-10-01 20:19:10,018 - INFO - Read: Rank: 196, Name: Hive
2024-10-01 20:19:10,088 - INFO - Read: Rank: 197, Name: Utrust
2024-10-01 20:19:10,155 - INFO - Read: Rank: 198, Name: DODO
2024-10-01 20:19:10,221 - INFO - Read: Rank: 199, Name: Velas
2024-10-01 20:19:10,293 - INFO - Read: Rank: 200, Name: Divi
2024-10-01 20:25:10,060 - INFO - Starting coin scraping process
2024-10-01 20:25:28,960 - INFO - Slowly scrolled to the bottom of the page
2024-10-01 20:25:40,790 - INFO - Slowly scrolled to the top of the page
2024-10-01 20:25:40,803 - INFO - Loading data from row 1 to row 200
2024-10-01 20:25:41,438 - INFO - Scrolled to row 1
2024-10-01 20:25:52,788 - INFO - Scrolled to row 200
2024-10-01 20:26:05,708 - INFO - Scrolled to row 1
2024-10-01 20:26:16,950 - INFO - Scrolled to row 200
2024-10-01 20:26:19,080 - INFO - Read: Rank: 1, Name: Bitcoin
2024-10-01 20:26:19,152 - INFO - Read: Rank: 2, Name: Ethereum
2024-10-01 20:26:19,226 - INFO - Read: Rank: 3, Name: Tether
2024-10-01 20:26:19,297 - INFO - Read: Rank: 4, Name: Binance Coin
2024-10-01 20:26:19,367 - INFO - Read: Rank: 5, Name: Cardano
2024-10-01 20:26:19,456 - INFO - Read: Rank: 6, Name: Dogecoin
2024-10-01 20:26:19,543 - INFO - Read: Rank: 7, Name: XRP
2024-10-01 20:26:19,626 - INFO - Read: Rank: 8, Name: USD Coin
2024-10-01 20:26:19,692 - INFO - Read: Rank: 9, Name: Polkadot
2024-10-01 20:26:19,762 - INFO - Read: Rank: 10, Name: Binance USD
2024-10-01 20:26:19,842 - INFO - Read: Rank: 11, Name: Uniswap
2024-10-01 20:26:19,915 - INFO - Read: Rank: 12, Name: Bitcoin Cash
2024-10-01 20:26:19,988 - INFO - Read: Rank: 13, Name: Litecoin
2024-10-01 20:26:20,052 - INFO - Read: Rank: 14, Name: Solana
2024-10-01 20:26:20,113 - INFO - Read: Rank: 15, Name: Chainlink
2024-10-01 20:26:20,186 - INFO - Read: Rank: 16, Name: Polygon
2024-10-01 20:26:20,252 - INFO - Read: Rank: 17, Name: THETA
2024-10-01 20:26:20,355 - INFO - Read: Rank: 18, Name: Wrapped Bitcoin
2024-10-01 20:26:20,421 - INFO - Read: Rank: 19, Name: Stellar
2024-10-01 20:26:20,485 - INFO - Read: Rank: 20, Name: Internet Computer
2024-10-01 20:26:20,550 - INFO - Read: Rank: 21, Name: Dai
2024-10-01 20:26:20,617 - INFO - Read: Rank: 22, Name: VeChain
2024-10-01 20:26:20,690 - INFO - Read: Rank: 23, Name: Ethereum Classic
2024-10-01 20:26:20,759 - INFO - Read: Rank: 24, Name: TRON
2024-10-01 20:26:20,829 - INFO - Read: Rank: 25, Name: Filecoin
2024-10-01 20:26:20,890 - INFO - Read: Rank: 26, Name: Monero
2024-10-01 20:26:20,959 - INFO - Read: Rank: 27, Name: EOS
2024-10-01 20:26:21,030 - INFO - Read: Rank: 28, Name: SHIBA INU
2024-10-01 20:26:21,133 - INFO - Read: Rank: 29, Name: Crypto.com Coin
2024-10-01 20:26:21,192 - INFO - Read: Rank: 30, Name: Amp
2024-10-01 20:26:21,257 - INFO - Read: Rank: 31, Name: Aave
2024-10-01 20:26:21,319 - INFO - Read: Rank: 32, Name: Algorand
2024-10-01 20:26:21,397 - INFO - Read: Rank: 33, Name: Bitcoin BEP2
2024-10-01 20:26:21,487 - INFO - Read: Rank: 34, Name: Klaytn
2024-10-01 20:26:21,560 - INFO - Read: Rank: 35, Name: Bitcoin SV
2024-10-01 20:26:21,630 - INFO - Read: Rank: 36, Name: PancakeSwap
2024-10-01 20:26:21,699 - INFO - Read: Rank: 37, Name: FTX Token
2024-10-01 20:26:21,760 - INFO - Read: Rank: 38, Name: Terra
2024-10-01 20:26:21,844 - INFO - Read: Rank: 39, Name: Theta Fuel
2024-10-01 20:26:21,912 - INFO - Read: Rank: 40, Name: Neo
2024-10-01 20:26:21,982 - INFO - Read: Rank: 41, Name: Tezos
2024-10-01 20:26:22,048 - INFO - Read: Rank: 42, Name: IOTA
2024-10-01 20:26:22,126 - INFO - Read: Rank: 43, Name: Cosmos
2024-10-01 20:26:22,199 - INFO - Read: Rank: 44, Name: Maker
2024-10-01 20:26:22,267 - INFO - Read: Rank: 45, Name: UNUS SED LEO
2024-10-01 20:26:22,350 - INFO - Read: Rank: 46, Name: TerraUSD
2024-10-01 20:26:22,426 - INFO - Read: Rank: 47, Name: Avalanche
2024-10-01 20:26:22,504 - INFO - Read: Rank: 48, Name: Huobi Token
2024-10-01 20:26:22,585 - INFO - Read: Rank: 49, Name: BitTorrent
2024-10-01 20:26:22,676 - INFO - Read: Rank: 50, Name: Decred
2024-10-01 20:26:22,756 - INFO - Read: Rank: 51, Name: The Graph
2024-10-01 20:26:22,836 - INFO - Read: Rank: 52, Name: Hedera Hashgraph
2024-10-01 20:26:22,909 - INFO - Read: Rank: 53, Name: Kusama
2024-10-01 20:26:22,998 - INFO - Read: Rank: 54, Name: Waves
2024-10-01 20:26:23,075 - INFO - Read: Rank: 55, Name: THORChain
2024-10-01 20:26:23,154 - INFO - Read: Rank: 56, Name: TrueUSD
2024-10-01 20:26:23,221 - INFO - Read: Rank: 57, Name: Chiliz
2024-10-01 20:26:23,298 - INFO - Read: Rank: 58, Name: Compound
2024-10-01 20:26:23,365 - INFO - Read: Rank: 59, Name: Dash
2024-10-01 20:26:23,438 - INFO - Read: Rank: 60, Name: Zcash
2024-10-01 20:26:23,502 - INFO - Read: Rank: 61, Name: Celsius
2024-10-01 20:26:23,569 - INFO - Read: Rank: 62, Name: Telcoin
2024-10-01 20:26:23,645 - INFO - Read: Rank: 63, Name: Elrond
2024-10-01 20:26:23,709 - INFO - Read: Rank: 64, Name: yearn.finance
2024-10-01 20:26:23,780 - INFO - Read: Rank: 65, Name: Holo
2024-10-01 20:26:23,844 - INFO - Read: Rank: 66, Name: NEM
2024-10-01 20:26:23,912 - INFO - Read: Rank: 67, Name: Helium
2024-10-01 20:26:23,982 - INFO - Read: Rank: 68, Name: Quant
2024-10-01 20:26:24,046 - INFO - Read: Rank: 69, Name: SushiSwap
2024-10-01 20:26:24,124 - INFO - Read: Rank: 70, Name: Paxos Standard
2024-10-01 20:26:24,208 - INFO - Read: Rank: 71, Name: Celo
2024-10-01 20:26:24,280 - INFO - Read: Rank: 72, Name: XinFin Network
2024-10-01 20:26:24,344 - INFO - Read: Rank: 73, Name: Enjin Coin
2024-10-01 20:26:24,414 - INFO - Read: Rank: 74, Name: Zilliqa
2024-10-01 20:26:24,494 - INFO - Read: Rank: 75, Name: Basic Attention Token
2024-10-01 20:26:24,559 - INFO - Read: Rank: 76, Name: NEAR Protocol
2024-10-01 20:26:24,630 - INFO - Read: Rank: 77, Name: Mdex
2024-10-01 20:26:24,695 - INFO - Read: Rank: 78, Name: Stacks
2024-10-01 20:26:24,767 - INFO - Read: Rank: 79, Name: Decentraland
2024-10-01 20:26:24,847 - INFO - Read: Rank: 80, Name: Synthetix
2024-10-01 20:26:24,920 - INFO - Read: Rank: 81, Name: Bitcoin Gold
2024-10-01 20:26:24,985 - INFO - Read: Rank: 82, Name: Nexo
2024-10-01 20:26:25,055 - INFO - Read: Rank: 83, Name: Harmony
2024-10-01 20:26:25,123 - INFO - Read: Rank: 84, Name: HUSD
2024-10-01 20:26:25,193 - INFO - Read: Rank: 85, Name: Revain
2024-10-01 20:26:25,260 - INFO - Read: Rank: 86, Name: Bancor
2024-10-01 20:26:25,325 - INFO - Read: Rank: 87, Name: Horizen
2024-10-01 20:26:25,389 - INFO - Read: Rank: 88, Name: Nano
2024-10-01 20:26:25,457 - INFO - Read: Rank: 89, Name: DigiByte
2024-10-01 20:26:25,523 - INFO - Read: Rank: 90, Name: Qtum
2024-10-01 20:26:25,587 - INFO - Read: Rank: 91, Name: OKB
2024-10-01 20:26:25,650 - INFO - Read: Rank: 92, Name: Curve DAO Token
